Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,Dmu31_new, , ,[' 1'],[' 4341+'],[' 2174'],"[' 1003.697s (Solving', ' 989.64s 1st Model', ' 880.64s Unsat', ' 0.00s)']",[' 1000.594s'], ,[' 406368709'],"[' 5194888  (Analyzed', ' 4779192)']","[' 14258    (Average', ' 335.19 Last', ' 468195)']",[' 5001.1  '],"[' 2174     (Average Length', ' 1104.98 Splits', ' 0)']","[' 4779192  (Deleted', ' 4662274)']","[' 457      (Ratio', '   0.01%)']","[' 95395    (Ratio', '   2.00%)']","[' 4779192  (Average Length', '   22.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4779192  (Average', ' 83.18 Max', ' 5149 Sum', ' 397546518)']","[' 4778489  (Average', ' 83.03 Max', ' 5149 Sum', ' 396827876 Ratio', '  99.82%)']","[' 703      (Average', ' 1022.25 Max', ' 1342 Sum', ' 718642 Ratio', '   0.18%)']", ,[' 123818  '],[' 10155   '],[' 116100  '],[' 59554   '],"[' 177694   (Atom=Atom', ' 46931 Body=Body', ' 32480 Other', ' 98283)']",[' Yes'],"[' 12367    (Eliminated', '    0 Frozen', ' 12367)']","[' 11785    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.63763'],[' 0'], ,[' 332.802'],[' 0'],[' 26.25'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.89157e+09'],[' 1.71264e+09'],[' 0'],[' 1.31096e+10'],[' 0'],[' 0'],[' 3817 '],[' 5876 '],[' 9171 '],[' 3 '],[' 0 ']
Solving...,Dmu32_new, , ,[' 1'],[' 3931+'],[' 1969'],"[' 1003.511s (Solving', ' 990.92s 1st Model', ' 374.34s Unsat', ' 0.00s)']",[' 1000.906s'], ,[' 406132644'],"[' 6488051  (Analyzed', ' 6111581)']","[' 13848    (Average', ' 441.33 Last', ' 303332)']",[' 4891.1  '],"[' 1969     (Average Length', ' 1013.49 Splits', ' 0)']","[' 6111581  (Deleted', ' 5987686)']","[' 551      (Ratio', '   0.01%)']","[' 92213    (Ratio', '   1.51%)']","[' 6111581  (Average Length', '   21.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6111581  (Average', ' 65.17 Max', ' 5029 Sum', ' 398266916)']","[' 6110860  (Average', ' 65.04 Max', ' 5029 Sum', ' 397512409 Ratio', '  99.81%)']","[' 721      (Average', ' 1046.47 Max', ' 1267 Sum', ' 754507 Ratio', '   0.19%)']", ,[' 122568  '],[' 10030   '],[' 114694  '],[' 58871   '],"[' 175465   (Atom=Atom', ' 46259 Body=Body', ' 32106 Other', ' 97100)']",[' Yes'],"[' 12090    (Eliminated', '    0 Frozen', ' 12090)']","[' 11515    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.28218'],[' 0'], ,[' 358.254'],[' 0'],[' 26.5311'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.82057e+09'],[' 1.64719e+09'],[' 0'],[' 1.63926e+10'],[' 0'],[' 0'],[' 3795 '],[' 5886 '],[' 9424 '],[' 3 '],[' 0 ']
Solving...,Dmu33_new, , ,[' 1'],[' 3849+'],[' 1928'],"[' 1003.306s (Solving', ' 990.88s 1st Model', ' 766.79s Unsat', ' 0.00s)']",[' 1000.516s'], ,[' 401345304'],"[' 5413736  (Analyzed', ' 5053108)']","[' 14177    (Average', ' 356.43 Last', ' 429703)']",[' 4941.7  '],"[' 1928     (Average Length', ' 971.19 Splits', ' 0)']","[' 5053108  (Deleted', ' 4928058)']","[' 521      (Ratio', '   0.01%)']","[' 95898    (Ratio', '   1.90%)']","[' 5053108  (Average Length', '   22.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5053108  (Average', ' 77.85 Max', ' 5062 Sum', ' 393371866)']","[' 5052380  (Average', ' 77.71 Max', ' 5062 Sum', ' 392689068 Ratio', '  99.83%)']","[' 728      (Average', ' 937.91 Max', ' 1166 Sum', ' 682798 Ratio', '   0.17%)']", ,[' 123845  '],[' 10195   '],[' 115886  '],[' 59444   '],"[' 177321   (Atom=Atom', ' 46809 Body=Body', ' 32600 Other', ' 97912)']",[' Yes'],"[' 12165    (Eliminated', '    0 Frozen', ' 12165)']","[' 12571    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.3193'],[' 0'], ,[' 343.835'],[' 0'],[' 26.2498'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.85358e+09'],[' 1.67944e+09'],[' 0'],[' 1.49133e+10'],[' 0'],[' 0'],[' 3905 '],[' 5991 '],[' 9550 '],[' 3 '],[' 0 ']
Solving...,Dmu34_new, , ,[' 1'],[' 3789+'],[' 1898'],"[' 1003.226s (Solving', ' 991.25s 1st Model', ' 650.12s Unsat', ' 0.00s)']",[' 997.578s'], ,[' 398005292'],"[' 5577496  (Analyzed', ' 5273521)']","[' 14430    (Average', ' 365.46 Last', ' 545386)']",[' 4965.3  '],"[' 1898     (Average Length', ' 980.54 Splits', ' 0)']","[' 5273521  (Deleted', ' 5152720)']","[' 473      (Ratio', '   0.01%)']","[' 88683    (Ratio', '   1.68%)']","[' 5273521  (Average Length', '   22.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5273521  (Average', ' 73.99 Max', ' 5155 Sum', ' 390162114)']","[' 5272859  (Average', ' 73.86 Max', ' 5155 Sum', ' 389493458 Ratio', '  99.83%)']","[' 662      (Average', ' 1010.05 Max', ' 1169 Sum', ' 668656 Ratio', '   0.17%)']", ,[' 122397  '],[' 9971    '],[' 114510  '],[' 58598   '],"[' 174478   (Atom=Atom', ' 45972 Body=Body', ' 31928 Other', ' 96578)']",[' Yes'],"[' 12011    (Eliminated', '    0 Frozen', ' 12011)']","[' 10830    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.2153'],[' 0'], ,[' 353.395'],[' 0'],[' 27.0674'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.75725e+09'],[' 1.58981e+09'],[' 0'],[' 1.45564e+10'],[' 0'],[' 0'],[' 3884 '],[' 5851 '],[' 9862 '],[' 3 '],[' 0 ']
Solving...,Dmu35_new, , ,[' 1'],[' 3831+'],[' 1919'],"[' 1003.495s (Solving', ' 990.75s 1st Model', ' 907.53s Unsat', ' 0.00s)']",[' 999.531s'], ,[' 397055241'],"[' 4448724  (Analyzed', ' 4152020)']","[' 12021    (Average', ' 345.40 Last', ' 488398)']",[' 4904.8  '],"[' 1919     (Average Length', ' 991.04 Splits', ' 0)']","[' 4152020  (Deleted', ' 4037826)']","[' 382      (Ratio', '   0.01%)']","[' 94529    (Ratio', '   2.28%)']","[' 4152020  (Average Length', '   22.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4152020  (Average', ' 93.78 Max', ' 4956 Sum', ' 389368420)']","[' 4151286  (Average', ' 93.61 Max', ' 4956 Sum', ' 388680441 Ratio', '  99.82%)']","[' 734      (Average', ' 937.30 Max', ' 1123 Sum', ' 687979 Ratio', '   0.18%)']", ,[' 122625  '],[' 10005   '],[' 114755  '],[' 58713   '],"[' 174905   (Atom=Atom', ' 46112 Body=Body', ' 32030 Other', ' 96763)']",[' Yes'],"[' 12052    (Eliminated', '    0 Frozen', ' 12052)']","[' 11873    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.31959'],[' 0'], ,[' 324.785'],[' 0'],[' 26.3472'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.88249e+09'],[' 1.71255e+09'],[' 0'],[' 1.19048e+10'],[' 0'],[' 0'],[' 3794 '],[' 5895 '],[' 9345 '],[' 3 '],[' 0 ']
Solving...,Dmu71_new, , ,[' 1'],[' 3639+'],[' 1823'],"[' 1002.262s (Solving', ' 993.70s 1st Model', ' 23.92s Unsat', ' 0.00s)']",[' 999.172s'], ,[' 292832300'],"[' 19461343 (Analyzed', ' 19053298)']","[' 33689    (Average', ' 565.56 Last', ' 59987)']",[' 3618.4  '],"[' 1823     (Average Length', ' 971.68 Splits', ' 0)']","[' 19053298 (Deleted', ' 18850386)']","[' 260      (Ratio', '   0.00%)']","[' 32575    (Ratio', '   0.17%)']","[' 19053298 (Average Length', '   16.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19053298 (Average', ' 15.06 Max', ' 3139 Sum', ' 287030223)']","[' 19052797 (Average', ' 15.04 Max', ' 3139 Sum', ' 286521930 Ratio', '  99.82%)']","[' 501      (Average', ' 1014.56 Max', ' 1173 Sum', ' 508293 Ratio', '   0.18%)']", ,[' 92928   '],[' 6034    '],[' 86803   '],[' 39351   '],"[' 115895   (Atom=Atom', ' 30218 Body=Body', ' 20132 Other', ' 65545)']",[' Yes'],"[' 8040     (Eliminated', '    0 Frozen', ' 8040)']","[' 5559     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.78872'],[' 0'], ,[' 580.386'],[' 0'],[' 25.9326'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.31122e+08'],[' 7.6361e+08'],[' 0'],[' 3.33977e+10'],[' 0'],[' 0'],[' 1944 '],[' 3946 '],[' 6388 '],[' 3 '],[' 0 ']
Solving...,Dmu72_new, , ,[' 1'],[' 3741+'],[' 1874'],"[' 1002.384s (Solving', ' 993.68s 1st Model', ' 187.64s Unsat', ' 0.00s)']",[' 997.922s'], ,[' 377946392'],"[' 11642519 (Analyzed', ' 11356791)']","[' 23510    (Average', ' 483.06 Last', ' 231704)']",[' 3422.0  '],"[' 1874     (Average Length', ' 1003.36 Splits', ' 0)']","[' 11356791 (Deleted', ' 11246816)']","[' 321      (Ratio', '   0.00%)']","[' 37561    (Ratio', '   0.33%)']","[' 11356791 (Average Length', '   14.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11356791 (Average', ' 32.84 Max', ' 3388 Sum', ' 372917523)']","[' 11356272 (Average', ' 32.79 Max', ' 3044 Sum', ' 372356904 Ratio', '  99.85%)']","[' 519      (Average', ' 1080.19 Max', ' 1277 Sum', ' 560619 Ratio', '   0.15%)']", ,[' 92462   '],[' 5956    '],[' 86376   '],[' 39060   '],"[' 114854   (Atom=Atom', ' 29957 Body=Body', ' 19898 Other', ' 64999)']",[' Yes'],"[' 7989     (Eliminated', '    0 Frozen', ' 7989)']","[' 5495     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.79989'],[' 0'], ,[' 467.907'],[' 0'],[' 28.1961'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.37509e+09'],[' 1.15303e+09'],[' 0'],[' 2.23981e+10'],[' 0'],[' 0'],[' 1867 '],[' 3713 '],[' 5876 '],[' 3 '],[' 0 ']
Solving...,Dmu73_new, , ,[' 1'],[' 3551+'],[' 1779'],"[' 1002.245s (Solving', ' 993.88s 1st Model', ' 62.14s Unsat', ' 0.00s)']",[' 997.969s'], ,[' 357595185'],"[' 14032940 (Analyzed', ' 13766784)']","[' 24841    (Average', ' 554.20 Last', ' 231127)']",[' 3430.9  '],"[' 1779     (Average Length', ' 969.34 Splits', ' 0)']","[' 13766784 (Deleted', ' 13630757)']","[' 368      (Ratio', '   0.00%)']","[' 37135    (Ratio', '   0.27%)']","[' 13766784 (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13766784 (Average', ' 25.62 Max', ' 3407 Sum', ' 352718972)']","[' 13766274 (Average', ' 25.58 Max', ' 3098 Sum', ' 352176074 Ratio', '  99.85%)']","[' 510      (Average', ' 1064.51 Max', ' 1282 Sum', ' 542898 Ratio', '   0.15%)']", ,[' 92657   '],[' 5997    '],[' 86473   '],[' 39157   '],"[' 115219   (Atom=Atom', ' 30026 Body=Body', ' 20021 Other', ' 65172)']",[' Yes'],"[' 7943     (Eliminated', '    0 Frozen', ' 7943)']","[' 5430     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.77866'],[' 0'], ,[' 497.256'],[' 0'],[' 27.4216'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.24437e+09'],[' 1.04285e+09'],[' 0'],[' 2.60206e+10'],[' 0'],[' 0'],[' 1952 '],[' 4044 '],[' 6580 '],[' 3 '],[' 0 ']
Solving...,Dmu74_new, , ,[' 1'],[' 4063+'],[' 2035'],"[' 1002.650s (Solving', ' 992.42s 1st Model', ' 148.89s Unsat', ' 0.00s)']",[' 995.328s'], ,[' 342116299'],"[' 12878408 (Analyzed', ' 12491538)']","[' 24715    (Average', ' 505.42 Last', ' 449204)']",[' 3625.6  '],"[' 2035     (Average Length', ' 1086.35 Splits', ' 0)']","[' 12491538 (Deleted', ' 12370262)']","[' 368      (Ratio', '   0.00%)']","[' 38996    (Ratio', '   0.31%)']","[' 12491538 (Average Length', '   15.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12491538 (Average', ' 26.93 Max', ' 3362 Sum', ' 336370179)']","[' 12491008 (Average', ' 26.88 Max', ' 3105 Sum', ' 335770899 Ratio', '  99.82%)']","[' 530      (Average', ' 1130.72 Max', ' 1368 Sum', ' 599280 Ratio', '   0.18%)']", ,[' 92889   '],[' 5998    '],[' 86942   '],[' 39390   '],"[' 115959   (Atom=Atom', ' 30286 Body=Body', ' 20024 Other', ' 65649)']",[' Yes'],"[' 8169     (Eliminated', '    0 Frozen', ' 8169)']","[' 5563     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.24163'],[' 0'], ,[' 469.715'],[' 0'],[' 27.1944'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.21978e+09'],[' 1.01814e+09'],[' 0'],[' 2.04645e+10'],[' 0'],[' 0'],[' 1982 '],[' 4119 '],[' 5889 '],[' 3 '],[' 0 ']
